Rank,Restaurant,GastroEval_Score,Total_Aspect_Evidence,Aspects_With_Evidence,Aspect_Coverage_Pct,Recommendation,Ambience_Score,Food_Quality_Score,Hygiene_Score,Overall_Experience_Score,Service_Score,Value_for_Money_Score,Mean_Evidence_Confidence_Pct
31,Olive Garden,68.99,143,6,100.0,Generally Recommended,67.65,71.87,45.45,66.67,67.05,67.57,43.88
32,Dine O China,68.52,149,5,83.33,Generally Recommended,69.74,69.69,50.0,71.43,71.59,54.55,43.99
33,13 Dhaba,66.59,90,6,100.0,Generally Recommended,54.17,72.3,50.0,68.75,55.0,64.29,33.02
34,GD's,66.51,59,4,66.67,Generally Recommended,50.0,68.97,50.0,66.67,54.35,62.5,23.41
35,Shanghai Chef 2,66.23,177,6,100.0,Generally Recommended,68.75,66.82,45.83,67.5,67.3,63.51,50.82
36,Udipi's Upahar,66.12,55,6,100.0,Generally Recommended,52.17,72.72,52.38,58.33,53.85,59.62,24.04
37,Diners Pavilion,65.97,216,5,83.33,Generally Recommended,74.56,69.75,50.0,61.84,57.64,58.33,50.17
38,Pot Pourri,65.26,216,6,100.0,Generally Recommended,75.86,65.93,54.55,67.65,59.03,60.81,52.71
39,Zing's Northeast Kitchen,64.54,199,6,100.0,Consider with Caution,58.0,72.14,50.0,72.62,54.17,56.76,47.73
40,Eat India Company,64.24,229,6,100.0,Consider with Caution,77.78,61.76,47.62,67.86,58.75,65.15,52.95
41,The Foodie Monster Kitchen,63.58,80,6,100.0,Consider with Caution,60.71,66.91,47.62,56.52,58.93,60.94,30.51
42,Triptify,63.47,49,5,83.33,Consider with Caution,52.38,66.1,50.0,54.17,52.38,56.25,18.16
43,Collage - Hyatt Hyderabad Gachibowli,62.53,187,5,83.33,Consider with Caution,69.57,60.1,50.0,64.28,64.47,51.92,46.15
44,Pista House,61.75,158,6,100.0,Consider with Caution,60.34,67.59,52.17,62.5,50.0,63.89,44.58
45,Shah Ghouse Hotel & Restaurant,61.05,126,6,100.0,Consider with Caution,50.0,65.5,46.0,64.52,57.35,59.26,38.94
46,Aromas@11SIX,60.56,137,6,100.0,Consider with Caution,55.88,61.46,50.0,66.13,58.54,63.64,42.59
47,T Grill,60.23,189,6,100.0,Consider with Caution,70.49,59.91,50.0,60.71,56.25,55.4,49.79
48,Ulavacharu,59.99,203,5,83.33,Consider with Caution,65.69,64.73,50.0,68.42,51.69,47.67,51.65
49,Hyderabad Chefs,59.74,43,6,100.0,Consider with Caution,47.83,64.44,45.45,52.38,56.0,53.7,21.4
50,Royal Spicy Restaurant,59.36,61,5,83.33,Consider with Caution,52.27,62.29,50.0,58.33,57.69,50.0,24.1
51,Tandoori Food Works,58.3,89,5,83.33,Consider with Caution,50.0,60.98,52.38,59.26,53.85,51.52,28.13
52,Desi Bytes,58.03,67,5,83.33,Consider with Caution,60.0,61.21,50.0,57.69,51.79,51.67,28.42
53,Al Saba Restaurant,57.71,93,6,100.0,Consider with Caution,46.55,61.27,43.48,56.0,56.94,58.62,35.23
54,Mathura Vilas,57.04,188,6,100.0,Consider with Caution,65.48,60.29,54.17,55.0,50.0,52.63,50.39
55,Delhi-39,50.91,61,5,83.33,Consider with Caution,50.0,53.9,50.0,52.38,42.59,46.3,22.41
56,Kritunga Restaurant,49.78,64,6,100.0,Not Recommended,54.0,46.55,45.45,58.33,53.23,56.25,27.24
57,Green Bawarchi Restaurant,49.0,47,6,100.0,Not Recommended,47.62,50.0,47.62,47.62,44.0,50.0,20.29
58,Owm Nom Nom,48.22,59,5,83.33,Not Recommended,50.0,48.21,50.0,52.38,47.14,50.0,23.29
59,Pakwaan Grand,47.86,90,6,100.0,Not Recommended,45.65,43.29,47.62,60.0,53.12,59.26,29.47
60,Hitech Bawarchi Food Zone,39.81,42,4,66.67,Not Recommended,50.0,37.25,47.62,50.0,52.17,42.59,17.42
61,Shree Santosh Dhaba Family Restaurant,37.84,36,5,83.33,Not Recommended,50.0,35.3,50.0,52.38,50.0,50.0,14.03
62,Hotel Zara Hi-Fi,35.92,74,4,66.67,Not Recommended,50.0,31.08,47.83,50.0,54.17,40.91,23.68
